date,avg_block_size,cost_per_tx,dificultad,dificultad_btc,fees_total_btc,hashrate,hashrate_btc,ingresos_mineros_btc,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_btc,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh,attack_hourly_cost_usd
2015-01-01,0.187483715151515,22.1382936381386,40640955016.5765,40640955016.5765,8.05416484,335365.290092025,335365.290092025,1519572.47532184,4388804054.511291,21995935.986486487,1519572.47532184,117529.0,320.97,13673564.677419355,2015097.8055,59344.0,59344.0,2.322569444444444,476.8312757201646,0.0688,11001.990946550824
2015-01-02,0.265137327272727,17.0964670268015,40640955016.5765,40640955016.5765,11.82270129,323243.653100747,323243.653100747,1475784.13022053,4305885212.653846,21995935.986486487,1475784.13022053,179406.0,314.81,13677726.923076924,991953.7176,79287.0,79287.0,2.322569444444444,475.761316872428,0.0688,10580.533633606758
2015-01-03,0.295148691358025,16.3225106613148,40640955016.5765,40640955016.5765,11.79841308,331324.744428265,331324.744428265,1586907.13151435,4330413686.513514,21995935.986486487,1586907.13151435,205926.0,316.51,13681759.45945946,1094418.7827,82227.0,82227.0,2.322569444444444,474.69135802469134,0.0688,10820.657110132779
2015-01-04,0.28224323255814,16.289938529901,40640955016.5765,40640955016.5765,21.74861782,335365.290092025,335365.290092025,1632202.97088049,3901719612.9166665,21995935.986486487,1632202.97088049,207255.0,285.09,13685922.385620914,5966762.646,85694.0,85694.0,2.322569444444444,473.62139917695475,0.0688,10927.929041499392
2015-01-05,0.360960737179487,11.5129016501521,40640955016.5765,40640955016.5765,16.09135479,339405.835755784,339405.835755784,1202039.03548908,3602822301.15,21995935.986486487,1202039.03548908,200612.0,263.17,13690095.0,11109155.7345,95585.0,95585.0,2.322569444444444,472.5514403292181,0.0688,11034.6060981266
2015-01-06,0.314165835443038,13.0258069367002,40640955016.5765,40640955016.5765,12.84608123,317182.834605108,317182.834605108,1361861.14103894,3755995776.6267605,21995935.986486487,1361861.14103894,179159.0,274.28,13694019.894366197,13989426.4904,87821.0,87821.0,2.322569444444444,471.48148148148147,0.0688,10288.753293895708
2015-01-07,0.342805535714286,11.4741924294865,40640955016.5765,40640955016.5765,12.78348978,299000.379118191,299000.379118191,1052470.30059465,3935634122.0072994,21995935.986486487,1052470.30059465,171674.0,287.32,13697738.138686132,10348878.518,89916.0,89916.0,2.322569444444444,470.4115226337449,0.0688,9676.941784302999
2015-01-08,0.390776843537415,11.3404941300756,40640955016.5765,40640955016.5765,16.27746896,272736.832303755,272736.832303755,1383767.09375183,4082868344.233209,21995935.986486487,1383767.09375183,197689.0,297.99,13701360.26119403,9296662.221,107132.0,107132.0,2.322569444444444,469.34156378600824,0.0688,8806.863118633482
2015-01-09,0.4063562,10.3115128129052,40640955016.5765,40640955016.5765,15.20418118,307081.470445709,307081.470445709,1085523.88835297,3898921703.1884327,21995935.986486487,1085523.88835297,202190.0,284.49,13704951.679104477,9261600.399,102275.0,102275.0,2.322569444444444,468.2716049382716,0.0688,9893.27027125426
2015-01-10,0.398392299319728,10.9993921924164,40640955016.5765,40640955016.5765,15.25846972,284858.469295033,284858.469295033,1335502.20243442,3986576209.9135337,21995935.986486487,1335502.20243442,242729.0,290.81,13708525.187969925,8400488.8812,104874.0,104874.0,2.322569444444444,467.20164609053495,0.0688,9156.340588113904
